Rank,Name,Platform,Year,Genre
91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action
92,Super Mario Galaxy 2,Wii,2010,Platform
93,Star Wars Battlefront (2015),PS4,2015,Shooter
94,Call of Duty: Advanced Warfare,PS4,2014,Shooter
95,The Legend of Zelda: Ocarina of Time,N64,1998,Action
96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform
97,Super Mario Bros. 2,NES,1988,Platform
98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting
99,Call of Duty: World at War,X360,2008,Shooter
100,Battlefield 3,X360,2011,Shooter
101,The Legend of Zelda: Twilight Princess,Wii,2006,Action
102,Call of Duty: Black Ops 3,XOne,2015,Shooter
103,Just Dance,Wii,2009,Misc
104,Battlefield 3,PS3,2011,Shooter
105,Need for Speed Underground,PS2,2003,Racing
106,Tekken 3,PS,1998,Fighting
107,Crash Bandicoot 3: Warped,PS,1998,Platform
108,Super Smash Bros. Melee,GC,2001,Fighting
109,Mario Kart 8,WiiU,2014,Racing
110,Fallout 4,PS4,2015,Role-Playing
111,Mario Kart: Double Dash!!,GC,2003,Racing
112,Just Dance 4,Wii,2012,Misc
113,FIFA 14,PS3,2013,Sports
114,Need for Speed Underground 2,PS2,2004,Racing
115,Medal of Honor: Frontline,PS2,2002,Shooter
116,Uncharted 3: Drake's Deception,PS3,2011,Action
117,Crash Bandicoot,PS,1996,Platform
118,Zumba Fitness,Wii,2010,Sports
119,Gears of War 2,X360,2008,Shooter
120,Uncharted 2: Among Thieves,PS3,2009,Action
121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter
122,FIFA 12,PS3,2011,Sports
123,Big Brain Academy,DS,2005,Misc
124,Red Dead Redemption,PS3,2010,Action
125,FIFA 15,PS4,2014,Sports
126,Donkey Kong Country Returns,Wii,2010,Platform
127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing
128,The Legend of Zelda,NES,1986,Action
129,Assassin's Creed III,PS3,2012,Action
130,Halo: Combat Evolved,XB,2001,Shooter
131,Pokémon Emerald Version,GBA,2004,Role-Playing
132,Kingdom Hearts,PS2,2002,Role-Playing
133,Pokémon Crystal Version,GB,2000,Role-Playing
134,Halo 3: ODST,X360,2009,Shooter
135,Red Dead Redemption,X360,2010,Action
136,Super Mario Sunshine,GC,2002,Platform
137,Street Fighter II: The World Warrior,SNES,1992,Fighting
138,World of Warcraft,PC,2004,Role-Playing
139,Driver,PS,1999,Action
140,Kinect Sports,X360,2010,Sports
141,Gears of War 3,X360,2011,Shooter
142,Gears of War,X360,2006,Shooter
143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action
144,Sonic the Hedgehog 2,GEN,1992,Platform
145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action
146,Metal Gear Solid,PS,1998,Action
147,The Last of Us,PS3,2013,Action
148,Final Fantasy XII,PS2,2006,Role-Playing
149,LittleBigPlanet,PS3,2008,Platform
